Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
4.362820	0.000000	0.000000
8.725640	0.000000	0.000000
13.088461	0.000000	0.000000
17.451281	0.000000	0.000000
21.814101	0.000000	0.000000
26.176921	0.000000	0.001096
30.539741	0.000000	0.001096
34.902562	0.000000	0.003289
39.265382	0.000000	0.006579
43.628202	0.000000	0.012061
47.991022	0.000000	0.018640
52.353842	0.000000	0.026316
56.716662	0.000000	0.031798
61.079483	0.001874	0.039474
65.442303	0.001874	0.053728
69.805123	0.001874	0.066886
74.167943	0.003749	0.078947
78.530763	0.004686	0.100877
82.893584	0.006560	0.129386
87.256404	0.008435	0.158991
91.619224	0.009372	0.184211
95.982044	0.011246	0.222588
100.344864	0.013121	0.255482
104.707685	0.016870	0.307018
109.070505	0.023430	0.346491
113.433325	0.025305	0.390351
117.796145	0.027179	0.427632
122.158965	0.031865	0.460526
126.521785	0.033739	0.497807
130.884606	0.035614	0.527412
135.247426	0.036551	0.563596
139.610246	0.036551	0.594298
143.973066	0.036551	0.619518
148.335886	0.040300	0.650219
152.698707	0.042174	0.667763
157.061527	0.048735	0.688596
161.424347	0.052484	0.709430
165.787167	0.057170	0.729167
170.149987	0.064667	0.752193
174.512808	0.070291	0.771930
178.875628	0.074977	0.787281
183.238448	0.081537	0.801535
187.601268	0.089035	0.819079
191.964088	0.098407	0.830044
196.326908	0.104967	0.843202
200.689729	0.112465	0.855263
205.052549	0.122774	0.866228
209.415369	0.135895	0.873904
213.778189	0.144330	0.880482
218.141009	0.159325	0.885965
222.503830	0.165886	0.894737
226.866650	0.177132	0.907895
231.229470	0.185567	0.913377
235.592290	0.195876	0.922149
239.955110	0.213683	0.933114
244.317931	0.223055	0.938596
248.680751	0.243674	0.939693
253.043571	0.255858	0.944079
257.406391	0.271790	0.949561
261.769211	0.288660	0.953947
266.132032	0.312090	0.957237
270.494852	0.323336	0.961623
274.857672	0.344892	0.962719
279.220492	0.369260	0.964912
283.583312	0.385192	0.968202
287.946132	0.411434	0.969298
292.308953	0.437676	0.974781
296.671773	0.459231	0.976974
301.034593	0.483599	0.983553
305.397413	0.512652	0.983553
309.760233	0.546392	0.984649
314.123054	0.582006	0.987939
318.485874	0.604499	0.987939
322.848694	0.638238	0.990132
327.211514	0.667291	0.990132
331.574334	0.696345	0.990132
335.937155	0.734770	0.993421
340.299975	0.769447	0.994518
344.662795	0.796626	0.996711
349.025615	0.825679	0.996711
353.388435	0.857545	0.996711
357.751255	0.883786	0.998904
362.114076	0.899719	0.998904
366.476896	0.919400	1.000000
370.839716	0.936270	1.000000
375.202536	0.949391	1.000000
379.565356	0.956888	1.000000
383.928177	0.965323	1.000000
388.290997	0.971884	1.000000
392.653817	0.978444	1.000000
397.016637	0.981256	1.000000
401.379457	0.987816	1.000000
405.742278	0.989691	1.000000
410.105098	0.990628	1.000000
414.467918	0.991565	1.000000
418.830738	0.994377	1.000000
423.193558	0.995314	1.000000
427.556379	0.997188	1.000000
431.919199	0.998126	1.000000
436.282019	0.999063	1.000000
440.644839	1.000000	1.000000
